full_text;username
Jika Indonesia sudah pindah ke ibu kota Nusantara maka mewacanakan satu zona waktu. Karena mengikuti posisi waktu IKN di waktu Indonesia bagian tengah. Jadi Indonesian Standard Time (IST). https://t.co/IRpNQI3wni;Wiligis_W11
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. https://t.co/kHAbtaapCW;kantahkotsabang
Persembahan spesial untuk Indonesia! Saksikan Ibu Kota Nusantara (IKN) - Official Music Video lagu penuh semangat yang menggambarkan harapan baru di jantung negeri. Tonton sekarang! 🇮🇩 #IKN #MusikIndonesia https://t.co/rWVY4dHam0;EsterKandar
Otorita Ibu Kota Nusantara (OIKN) mengungkapkan Istana Garuda dan Jalan Tol Akses IKN diusulkan oleh Menteri Pekerjaan Umum (PU) Dody Hanggodo untuk diresmikan oleh Presiden Prabowo Subianto pada 2025. https://t.co/gO5EOnvYqa;antaranews
@DedynurPalakka JOKOWI LAGI NGENTOT SAMA IRIANA DI DEPAN IBU KOTA NUSANTARA;brows24077
@kapal_lawdd ibu kota nusantara;perkarasipil
TNI Angkatan Udara (TNI AU) bakal memperkuat sistem pertahanan udara di Ibu Kota Nusantara (IKN) dengan menghadirkan artileri pertahanan udara (arhanud) yakni rudal jenis baru. | #TNIAU #Rudal #IKN https://t.co/foQZsgWBgY;kompascom
 Ibu Kota Nusantara (IKN) - Official Music Video Nikmati harmoni budaya &amp;
Ibu Kota Nusantara (IKN) jadi primadona wisata selama libur Natal dan Tahun Baru 2024-2025! #IKN #IbuKotaNusantara #WisataIKN #LiburNataru #MasaDepanIndonesia #IKNDestinasiWisata #IKN2024 #PesonaKalimantan #IndonesiaMaju #VisitIKN #Ayobacanews https://t.co/5OJztXKrOa;ayobacanews
Taman Safari dan Investor Theme Park Siap Masuk Ibu Kota Nusantara https://t.co/yo30el1dzL;pradanaMedia
Ibu Kota Nusantara (IKN) kini menjadi primadona wisata terutama selama libur Natal dan Tahun Baru 2024-2025. Peningkatan jumlah wisatawan yang datang ke Kalimantan Timur terlihat drastis dengan pengunjung yang memadati rest area IKN di Sepaku Kabupaten Penajam Paser Utara. https://t.co/A3XQTSsALV;Beritasatu
@_bsutanto @DokterTifa @prabowo isep aj broh yaman suka kayanya;Nusantara2025
Kepala Otorita Ibu Kota Nusantara (IKN) Basuki Hadimuljono bicara tentang minat investor yang akan segera masuk ke IKN. https://t.co/KUxED5nhrk;detikfinance
Memasuki awal tahun 2025 rencananya akan dilangsungkan prosesi peletakan batu pertama atau groundbreaking di Ibu Kota Nusantara (IKN). https://t.co/NxWdZRCvpy;detikfinance
Kaleidoskop 2024 Dalam Negeri IKN (Ibu Kota Nusantara) di Kalimantan Timur masih sorotan utama. Perkiraan habiskan anggaran Rp466 triliun. Sampai saat ini sdh habiskan anggaran Rp140 7 triliun. Semula diinfokan ke publik anggarannya bersumber dari swasta. Faktanya dari APBN https://t.co/WqsaHS774R;musniumar_
Mimin mau spill ke kalian nihh progress Traning Centre PSSI di Ibu Kota Nusantara - Kalimantan Timur! #ADHIIKN #PSSIIKN #ADHIIKNTrainingCentre https://t.co/7iMJtRJLv9;electrizen_trk
PLN berhasil merampungkan 3 (tiga) infrastruktur bertegangan tinggi untuk menopang sistem kelistrikan Ibu Kota Negara (IKN) Nusantara. Ketiga infrastruktur dengan realisasi Tingkat Komponen Dalam Negeri sebesar 67 29%. #PLNHUBIKN #PLNSukseskanIKN https://t.co/dMVdttY1yp;electrizen_trk
Rusun ASN di Ibu Kota Nusantara Hampir Selesai Dukung Pemerintahan Modern di Kalimantan Timur! https://t.co/2vvr7ZIEeX;beritatrencom
Infrastruktur di IKN Halo #SobatBUMN! Sinergi PT Wijaya Karya (Persero) Tbk (WIKA) dengan BUMN Karya salurkan bantuan Pendidikan di Ibu Kota Nusantara (IKN) mulai dari beasiswa sarana dan prasarana sekolah serta memajukan infrastruktur di IKN pada Jumat (4/10/2024).;bjkterpercaya1
Otoritas Ibu Kota Nusantara (OIKN) menjelaskan bahwa kereta tanpa rel atau Autonomous Rail Transit (ART) yang diproduksi China Railway Rolling Stock Corporation (CRRC) akan dikembalikan. https://t.co/qldk2ly0QM;JavanicaPost
@Bambangc5563 Betul. Selama belum layak jadi ibu kota dan lengkap sarana pemerintahannya jangan grusa grusu teken keppres. Kalau ada aktivitas negara nanti cost nya mahal sebab harus wara wiri Jakarta - Nusantara;Kimberley_PS08
Investasi RRT di Indonesia tentu tidak hanya dana tapi biasanya ada 'ikutannya'. |China Jadi Salah Satu Investor Utama Proyek Ibu Kota Nusantara https://t.co/6qlDEOzJLH;Dogelkarya76_82
@iEarthne Ibu kota nusantara;mkleemineral
@DokterTifa @prabowo itu org atau bij anj;Nusantara2025
Berapakah kebocoran anggaran negara yg dikorupsi di IKN.....Kementerian Pekerjaan Umum Ungkapkan Pembangunan Ibu Kota Nusantara atau IKN di Kalimantan Timur telah Capai Kemajuan Signifikan Simak! https://t.co/wHp9ekC5p2;agungtriat53466
Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan. https://t.co/bKYyRYoNq7;LesterFarhan
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #KotaMasaDepan #PembangunanIKN https://t.co/Ig9kViy1qJ;orangalimbanget
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/vQgDr5xrcs;orangalimbanget
